AssignmentId,HITId,WorkerId,Sample_Row_Name,Sample_Row_Index,Approve,Reject
32SCWG5HJ8VVMDKAK4JS98NS5166PK,3R868ACW5I3PAQDSTOLFOD605DXZGH,A1NN61ZAXV9FR0,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=23"
33L7PJKHD7PGIJW5U0PAYWKG0ZH8TD,3R868ACW5I3PAQDSTOLFOD605DXZGH,A34D1LAUUQZCRT,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=27"
34YB12FSRPFRY3C3410M4V6MUAPMGX,3R868ACW5I3PAQDSTOLFOD605DXZGH,AVNYN96Q8S1NW,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=20"
36AHBNMV2I3OG0RQLENPS5QWQRRYDR,3R868ACW5I3PAQDSTOLFOD605DXZGH,A2XSHWY53BSMV2,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=25"
36V4Q8R50BRIBS6H7X5YY9AO0XBQM9,3R868ACW5I3PAQDSTOLFOD605DXZGH,A166BS4L4QUBR9,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=15"
39ASUFLU7OY481FGCDC7F918OYZEXX,3R868ACW5I3PAQDSTOLFOD605DXZGH,A16EGD2ITJKO4V,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=17"
3A0EX8ZROZFV13T67IWJXF2WN7OYBV,3R868ACW5I3PAQDSTOLFOD605DXZGH,A1BTFQRZ0NTPDY,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=22"
3HMIGG0U5CXCZ5VZ46C96DCVF0UY8L,3R868ACW5I3PAQDSTOLFOD605DXZGH,A20G8SL4ZZ38FL,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=18"
3HPZF4IVODKEB8LCLISE8Z8E5RGCY6,3R868ACW5I3PAQDSTOLFOD605DXZGH,A2FNTIPS5UNJT5,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=15"
3HRMW88U2XHUNZ1IQZBJJ3J6NTE0MM,3R868ACW5I3PAQDSTOLFOD605DXZGH,ASAMJC3EOZ9XE,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=17"
3IO1LGZLL0OAGLLTYNHHNMS2GQ286W,3R868ACW5I3PAQDSTOLFOD605DXZGH,A3QVB1ZA646NIF,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=15"
3RSDURM971DT865QH9Y9YN8HQ3TYEL,3R868ACW5I3PAQDSTOLFOD605DXZGH,AVEV8X13Y4JSR,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=15"
3TK8OJTYNSCG13ZBLCR0L03RMURVPU,3R868ACW5I3PAQDSTOLFOD605DXZGH,AF1E830LMKEV8,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=18"
3V0Z7YWSJPRK9WY5JEGOPNVYBJ12VE,3R868ACW5I3PAQDSTOLFOD605DXZGH,A2OTMALDJLAS7,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=22"
3WR9XG3T7U2S1KCW5UWWCOCT9GU47Q,3R868ACW5I3PAQDSTOLFOD605DXZGH,A8LBBPY53A3O3,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=18"
3X08E93BIM9NC72558KJ38WBAVC668,3R868ACW5I3PAQDSTOLFOD605DXZGH,A1TRCGTBFJO7UQ,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=16"
3X31TUMD8ODAO64FM6E4XVNRSGP1LJ,3R868ACW5I3PAQDSTOLFOD605DXZGH,A1LTQFASEA46TV,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=21"
3Y4W8Q93MQB7C6WLG305L6M28CSDV4,3R868ACW5I3PAQDSTOLFOD605DXZGH,A29NA4283YJ26D,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=16"
3YDGXNSEPQLW1YHFFZO2QO8OK0048D,3R868ACW5I3PAQDSTOLFOD605DXZGH,A2YKOX0MM6Q0PE,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=16"
3YDGXNSEPQLW1YHFFZO2QO8OKZW84B,3R868ACW5I3PAQDSTOLFOD605DXZGH,AEXTZV2XLU0NW,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=16"
3YWRV122DJQVIWBUU5FK3S6IJDO8U4,3R868ACW5I3PAQDSTOLFOD605DXZGH,A2IOZ7MGTMEPZL,row_0,0,,Too many unset video ratings (9 > 8)
3YZ8UPK3WKDXUZ17BHVP5E219FIUCR,3R868ACW5I3PAQDSTOLFOD605DXZGH,A1MCWFRCYFK1BX,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=20"
3ZAZR5XV1S9EGYVHH4UXM6HGBLKCZX,3R868ACW5I3PAQDSTOLFOD605DXZGH,A1L5MD62BMOXFK,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=20"
